hasSymptomsAgitation,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Mental disorder,False,False,False,False,False,False,False,
hasComplicationsSuicide,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Adjustment disorder,False,False,False,False,False,False,False,
hasSymptomsFast_heart_rate,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasComplicationsDepression,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasComplicationsTrouble_sleeping,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasComplicationsSuicide,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasMedicationBeta_blockers,,Mental disorder,Anxiety disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Delusional disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Factitious disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Hypersomnia disorder related to another mental disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Impulse control disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Bodily distress disorder,False,False,False,False,False,False,False,
hasSymptomsAgitation,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsAnxiety,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsDepression,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsMania,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsParanoia,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsPsychosis,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasMedicationAntidepressants,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasMedicationAntipsychotics,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasMedicationAnxiolytics,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasMedicationMood_stabilizers,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasMedicationStimulants,,Mental disorder,Neurosis,False,False,False,False,False,False,False,
hasSymptomsMemory_problems,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
hasSymptomsPersonality_changes,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
hasSymptomsMood_swings,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
hasSymptomsCognitive_impairment,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
